,p,error,error_generalization,epoch
13,100,0.1742994019024117,0.24542886113446385,13
14,100,0.17715094337266687,0.2404251775689686,14
15,100,0.1720267655922437,0.24641962808731765,15
16,100,0.17902367428697208,0.24404632465639278,16
17,100,0.18509155804249416,0.2485882111458481,17
18,100,0.18246116341692575,0.25196931948643764,18
19,100,0.1822470335202378,0.25301368520423106,19
20,100,0.18002249741275353,0.2545837259939296,20
21,100,0.17653754175283567,0.24926306888387123,21
22,100,0.18084959544377419,0.2504917489037751,22
23,100,0.181209880085271,0.24798238948642246,23
24,100,0.17927461052530186,0.25487416106592337,24
25,100,0.18073429791812515,0.2473383556728129,25
26,100,0.1823272074580901,0.24045764296189995,26
27,100,0.17933947326322897,0.2494080296229117,27
28,100,0.1810614298355821,0.25212933459968095,28
29,100,0.1783336550886159,0.2520720542540854,29
30,100,0.17345949375254435,0.2441176869286744,30
31,100,0.17507839751058965,0.2474815753100624,31
32,100,0.17756413095589318,0.24776803469133424,32
33,100,0.1786901533361019,0.25226972925132946,33
34,100,0.18051358780774115,0.2520997396504859,34
35,100,0.18033209711745107,0.2430819630648914,35
36,100,0.18500010306622797,0.25130410556351845,36
37,100,0.18242525933707474,0.24360769315169883,37
38,100,0.17899861743275666,0.24454624970730982,38
39,100,0.18149388611430925,0.24453448137891093,39
