,p,error,error_generalization,epoch
0,20,0.5524266687793931,0.6175372344552,0
1,20,0.3580866929942197,0.48254267455080263,1
2,20,0.3072813466663752,0.461490267514575,2
3,20,0.25357658981083075,0.45850495267688435,3
4,20,0.22565706173636682,0.4544052920464896,4
5,20,0.19717379512750438,0.44705661220771076,5
6,20,0.17436174928791087,0.4417807588818932,6
7,20,0.163621072102897,0.43477382663255704,7
8,20,0.15465200125905162,0.4315832034117849,8
9,20,0.14655266939991457,0.4295314866502892,9
10,20,0.1414582829364479,0.42943431485986655,10
11,20,0.13841252965802475,0.42980371228721104,11
12,20,0.13607373470944814,0.43048567364434864,12
13,20,0.13458491747268725,0.4293008045839925,13
14,20,0.132621652467981,0.4289251052533727,14
15,20,0.13211320495020434,0.42792652997762437,15
16,20,0.1312629467201258,0.4281347746249045,16
17,20,0.13039493091416152,0.42777954403017304,17
18,20,0.1294127783208943,0.4277952904385849,18
19,20,0.12879359579455726,0.4284876055932559,19
20,20,0.12845378216427092,0.42803453514485507,20
21,20,0.12813490654588638,0.42828177132463685,21
22,20,0.12762789595181878,0.4278274850893804,22
23,20,0.12727118127152026,0.427904519571568,23
24,20,0.1270727045965011,0.427815326752418,24
25,20,0.12671300783795764,0.427693914814144,25
26,20,0.12654057740181143,0.4275461488602142,26
27,20,0.12637249465059433,0.4272044914773726,27
28,20,0.12626011447801175,0.42697514973907075,28
29,20,0.12609712370856394,0.4268132248848372,29
30,20,0.1260186588928382,0.4266490480445249,30
31,20,0.12589364951437987,0.42650223081553296,31
32,20,0.12581848036199902,0.4264030889915257,32
33,20,0.1257237459908818,0.42626338120874285,33
34,20,0.12565799035504555,0.4261247775370552,34
35,20,0.12562753534870053,0.426076020985165,35
36,20,0.12553463856540759,0.4260523858868998,36
37,20,0.12545714020929738,0.4260032869244961,37
38,20,0.1254353530061231,0.4259503756477258,38
39,20,0.12544149668924462,0.42585260689262283,39
0,50,0.5180886626139242,0.5540784487409381,0
1,50,0.40493268778520014,0.4379491415353973,1
2,50,0.3344757024430995,0.38736236878932273,2
3,50,0.278222502687536,0.3708381101564223,3
4,50,0.23350780250108755,0.3527501071281665,4
5,50,0.1965141400549334,0.3389247781729576,5
6,50,0.18285681909983625,0.32380729934513036,6
7,50,0.1690398763818764,0.31456323007671494,7
8,50,0.16247904869387345,0.3090024388285899,8
9,50,0.1537322805710546,0.30077192432557,9
10,50,0.15078504371195037,0.2945160959679238,10
11,50,0.14632587772875263,0.29071878188042194,11
12,50,0.14392013678254345,0.28572942616044916,12
13,50,0.1414400533702937,0.2822381244091878,13
14,50,0.14007334389232212,0.27885891229207105,14
15,50,0.1387763703574175,0.27516284419597087,15
16,50,0.13703901059513132,0.27376558578210214,16
17,50,0.13633007777191616,0.27134879188091154,17
18,50,0.1359520216119781,0.26963062547491634,18
19,50,0.13512050970673403,0.26797995729401114,19
20,50,0.13437645288955538,0.2669435218941045,20
21,50,0.13381852095673427,0.2659412003105631,21
22,50,0.13342149194579592,0.2648962854653679,22
23,50,0.13306502408039517,0.2639101251115163,23
24,50,0.13252556813394645,0.26263646805612834,24
25,50,0.13210643352527046,0.26192190514119595,25
26,50,0.13176525949760817,0.26112456727886924,26
27,50,0.13186687422224758,0.2608349110870553,27
28,50,0.13177812734854258,0.2607448366142263,28
