N,α,nD,n_max,fraction_of_successful_runs
100,1.2100000000000006,5000,100,1.0
100,1.2150000000000007,5000,100,1.0
100,1.2200000000000006,5000,100,0.9998
100,1.2250000000000005,5000,100,0.9998
100,1.2300000000000006,5000,100,1.0
100,1.2350000000000008,5000,100,1.0
100,1.2400000000000007,5000,100,0.9998
100,1.2450000000000006,5000,100,0.9996
100,1.2500000000000007,5000,100,0.9996
100,1.2550000000000008,5000,100,0.9996
100,1.2600000000000007,5000,100,0.9992
100,1.2650000000000006,5000,100,0.9994
100,1.2700000000000007,5000,100,0.9986
100,1.2750000000000008,5000,100,0.9984
100,1.2800000000000007,5000,100,0.9978
100,1.2850000000000006,5000,100,0.9992
100,1.2900000000000007,5000,100,0.9978
100,1.2950000000000008,5000,100,0.9982
100,1.3000000000000007,5000,100,0.9986
100,1.3050000000000006,5000,100,0.9972
100,1.3100000000000007,5000,100,0.9966
100,1.3150000000000008,5000,100,0.9972
100,1.3200000000000007,5000,100,0.9972
100,1.3250000000000006,5000,100,0.9966
100,1.3300000000000007,5000,100,0.9954
100,1.3350000000000009,5000,100,0.9934
100,1.3400000000000007,5000,100,0.9934
100,1.3450000000000006,5000,100,0.9932
100,1.3500000000000008,5000,100,0.9922
100,1.3550000000000009,5000,100,0.9932
100,1.3600000000000008,5000,100,0.9872
100,1.3650000000000007,5000,100,0.9878
100,1.3700000000000008,5000,100,0.9858
100,1.3750000000000009,5000,100,0.9882
100,1.3800000000000008,5000,100,0.9836
100,1.3850000000000007,5000,100,0.983
100,1.3900000000000008,5000,100,0.9846
100,1.395000000000001,5000,100,0.983
100,1.4000000000000008,5000,100,0.9772
100,1.4050000000000007,5000,100,0.9764
100,1.4100000000000008,5000,100,0.9654
100,1.415000000000001,5000,100,0.9758
100,1.4200000000000008,5000,100,0.9632
100,1.4250000000000007,5000,100,0.9704
100,1.4300000000000008,5000,100,0.9584
100,1.435000000000001,5000,100,0.9622
100,1.4400000000000008,5000,100,0.9486
100,1.4450000000000007,5000,100,0.9488
100,1.4500000000000008,5000,100,0.9414
100,1.455000000000001,5000,100,0.942
100,1.4600000000000009,5000,100,0.9316
100,1.4650000000000007,5000,100,0.9334
100,1.4700000000000009,5000,100,0.9168
100,1.475000000000001,5000,100,0.922
